pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,author,19810,few,0.0,0.0424448217317487,2.3769100169779285,1.825127334465195,0.4668930390492359,0.7215619694397283,2356
P1,author,19810,many,0.0,0.0,0.0,0.0,0.0,0.0,14
P1,author,19810,single,8.118556701030927,8.934707903780069,12.371134020618555,11.168384879725089,6.829896907216495,9.70790378006873,2328
P2,illustrator,369,few,0.0,0.0,3.278688524590164,0.0,0.0,3.278688524590164,61
P2,illustrator,369,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P2,illustrator,369,single,7.142857142857142,8.333333333333332,10.714285714285714,9.523809523809524,5.952380952380952,8.333333333333332,84
P3,coverArtist,294,few,0.0,0.0,0.0,0.0,0.0,0.0,41
P3,coverArtist,294,many,0.0,0.0,0.0,0.0,0.0,0.0,5
P3,coverArtist,294,single,3.92156862745098,3.92156862745098,7.84313725490196,5.88235294117647,3.92156862745098,3.92156862745098,51
P4,translator,184,few,0.0,0.0,0.0,0.0,0.0,0.0,26
P4,translator,184,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P4,translator,184,single,1.639344262295082,1.639344262295082,1.639344262295082,1.639344262295082,1.639344262295082,1.639344262295082,61
P8,publisher,41,few,0.0,0.0,0.0,0.0,0.0,0.0,9
P8,publisher,41,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P8,publisher,41,single,15.384615384615383,15.384615384615383,15.384615384615383,15.384615384615383,7.6923076923076925,15.384615384615383,13
